Entidad,Valor,Embedding
Avg. Rating,7.674,"[0.08176780492067337, 0.04086339473724365, 0.014019161462783813, -0.051476262509822845, -0.0866939052939415, 0.005677996203303337, -0.011491463519632816, -0.03473531827330589, -0.010527231730520725, -0.033911824226379395, -0.08771197497844696, 0.002157779410481453, -0.08948322385549545, -0.07973189651966095, 0.047026630491018295, 0.06634582579135895, 0.008842871524393559, 0.07315926998853683, 0.023696329444646835, -0.03553431108593941, 0.021124547347426414, -0.027679365128278732, 0.0865556001663208, 0.024532726034522057, 0.06813902407884598, -0.020119791850447655, -0.059129346162080765, -0.024669384583830833, 0.01890496350824833, -0.05873368680477142, 0.022990170866250992, -0.013823050074279308, -0.03792046010494232, -0.007419208064675331, -0.0038771701510995626, 0.01900254376232624, -0.014512389898300171, 0.06548203527927399, -0.03845183551311493, -0.013015910983085632, -0.003203432075679302, 0.023983417078852654, 0.020182577893137932, -0.03623846173286438, -0.07817576080560684, -0.041714880615472794, 0.00029543155687861145, 0.05729971081018448, -0.0555875338613987, 0.04840168356895447, 0.07993637770414352, -0.03328517824411392, 0.026818692684173584, -0.07673432677984238, 0.09364710003137589, -0.06639525294303894, -0.03463299944996834, -0.07092451304197311, 0.04919881373643875, 0.0824032798409462, -0.06115586310625076, 0.04197029396891594, -0.022390475496649742, 0.04057363048195839, -0.06897850334644318, -0.07646233588457108, 0.03270259499549866, 0.08549685031175613, -0.007404929492622614, 0.047739580273628235, -0.0653868243098259, -0.043355319648981094, 0.0009498688741587102, 0.016564005985856056, 0.004773118067532778, -0.06398328393697739, 0.01657368242740631, -0.0044402508065104485, 0.0027456358075141907, 0.06941555440425873, -0.05893376097083092, 0.029931819066405296, -0.010746262967586517, 0.06323949247598648, 0.02600821666419506, 0.024607066065073013, 0.06100234016776085, -0.010787950828671455, -0.06021080166101456, 0.04198800399899483, -0.030247019603848457, -0.036426667124032974, 0.04268451780080795, 0.030347909778356552, 0.006268516648560762, -0.05421121045947075, -0.025214826688170433, -0.047210581600666046, 0.08337715268135071, -0.06029566749930382, -0.030526112765073776, -0.010284248739480972, -0.0036450903862714767, -0.031163770705461502, 0.04683033376932144, 0.05525384470820427, -0.08188257366418839, -0.022984184324741364, 0.0482969656586647, -0.008160479366779327, -0.024390703067183495, -0.04794381186366081, -0.015295869670808315, 0.024438485503196716, 0.043155595660209656, 0.042039357125759125, 0.04830675199627876, -0.05430087819695473, 0.047235455363988876, 0.0009111169492825866, -0.03899078071117401, -0.00208910065703094, -0.006521026603877544, 0.04398030787706375, -0.06093285232782364, 0.036868009716272354, -0.02242024429142475, -0.02187386155128479, -0.05956227332353592, 0.05642813444137573, -0.0732361376285553, 0.035715047270059586, 0.039677694439888, -0.06354006379842758, 0.044601306319236755, 0.04950179159641266, -0.014681161381304264, 0.014894098974764347, -0.028141522780060768, -0.009580090641975403, -0.04839024320244789, 0.009580789133906364, -0.06129889935255051, 0.027626289054751396, 0.011152285151183605, 0.001825874438509345, -0.010681847110390663, -0.00387210282497108, 0.01629040017724037, 0.009967692196369171, -0.06165255978703499, 0.025596357882022858, -0.01615959219634533, 0.013710937462747097, -0.06071106716990471, -0.008035487495362759, 0.013195900246500969, 0.048636388033628464, 0.07458312064409256, 0.00762215256690979, -0.018000585958361626, -0.05569864809513092, -0.01314625982195139, -0.040124569088220596, 0.0383552685379982, 0.05926983430981636, -0.051786717027425766, 0.05894354730844498, -0.02428816445171833, -0.020940439775586128, 0.0876251682639122, -0.03328123688697815, -0.028674321249127388, 0.07620563358068466, 0.06107240542769432, 0.0571448840200901, -0.042195867747068405, -0.010431715287268162, -0.05352777615189552, 0.09338290244340897, 0.08228183537721634, 0.012460635043680668, -0.06687287241220474, -0.010920693166553974, -0.007139740977436304, 0.03804221376776695, 0.024855762720108032, 0.049903564155101776, 0.058688532561063766, -0.02427644468843937, -0.029728354886174202, -0.028504759073257446, -0.06624224036931992, -0.00041093133040703833, 0.04902275279164314, -0.03643728420138359, 0.022761505097150803, -0.08302324265241623, -0.021515484899282455, -0.032170407474040985, 0.013889005407691002, 0.04728683456778526, -0.0256296806037426, -0.03095146268606186, 0.08209924399852753, 0.04114507883787155, 0.00866646133363247, 0.05373093858361244, -0.08097648620605469, 0.03542935475707054, 0.021869013085961342, -0.02210356667637825, -0.015392410568892956, 0.0502295084297657, 0.004939342383295298, -0.03368410840630531, 0.02244844287633896, 0.03862488642334938, 0.06940218806266785, -0.016137756407260895, 0.033448413014411926, -0.06688278913497925, -0.05197436735033989, -0.025009378790855408, 0.002083140192553401, -0.07510704547166824, -0.05278094857931137, -0.012295708060264587, -0.01157219335436821, 0.016132958233356476, -0.039788711816072464, 0.04259622469544411, -0.021968334913253784, 0.026681428775191307, 0.04227949306368828, 0.07251719385385513, -0.06029767170548439, -0.026790546253323555, -0.029229598119854927, 0.022307079285383224, -0.04539196938276291, 0.0886283740401268, -0.08041349798440933, -0.008128185756504536, -0.08149509131908417, 0.005270849447697401, 0.07296399772167206, 0.03300092741847038, -0.062132399529218674, 0.024334179237484932, 0.03775155171751976, -0.05620872974395752, 0.03860834240913391, -0.005031989887356758, 0.056591592729091644, 0.07084894925355911, 0.048653941601514816, -0.04999377205967903, -0.039525002241134644, -0.08584360778331757, -0.0006368075264617801, 0.0660737082362175, -0.07507006824016571, -2.8225470032339217e-06, 0.0936291292309761, -0.05818961188197136, -0.05879315361380577, 0.08599299937486649, 0.03569720685482025, -0.009635494090616703, 0.008240276016294956, -0.0070894863456487656, 0.0024340564850717783, 0.07889889925718307, -0.04944654554128647, 0.05456359311938286, 0.00907083973288536, -0.024813029915094376, -0.053036317229270935, 0.049991220235824585, -0.02403789386153221, 0.008412974886596203, 0.0027911141514778137, -0.07866617292165756, 0.0042389328591525555, 0.07889070361852646, 0.002158873016014695, -0.07852433621883392, -0.06789927929639816, 0.007521250285208225, 0.04381518438458443, 0.02458452247083187, -0.05005022883415222, -0.04134373366832733, -0.03283558413386345, -0.021917451173067093, 0.006115984637290239, -0.061544593423604965, -0.08339378237724304, -0.036885082721710205, -0.05096428468823433, 0.06039518117904663, 0.04529683664441109, -0.056401755660772324, -0.047676995396614075, 0.04419989511370659, 0.02768847346305847, 0.05637091398239136, 0.038207463920116425, -0.025401409715414047, 0.03210374340415001, -0.04126153141260147, -0.03189951181411743, -0.03809165582060814, -0.002918751910328865, -0.019435036927461624, 0.023983370512723923, 0.1069151759147644, 0.016461165621876717, -0.003419906133785844, -0.023124942556023598, 0.006012564059346914, 0.02849205583333969, 0.0049996525049209595, 0.004376104101538658, -0.026064742356538773, -0.0516403503715992, 0.02648496814072132, 0.040489595383405685, -0.0033748834393918514, 0.06794029474258423, 0.014828742481768131, -0.008346199057996273, 0.03126131370663643, -0.020056435838341713, -0.009427780285477638, -0.014083669520914555, 0.08784382045269012, 0.03902813419699669, 0.001337201800197363, -0.03608621284365654, -0.035242535173892975, 0.020502377301454544, 0.010117857716977596, -0.04261346906423569, 0.00369619345292449, 0.031496308743953705, -0.03502185642719269, -0.043191540986299515, 0.05111570283770561, -0.05382528156042099, 0.0023668354842811823, 0.06864005327224731, -0.04597744718194008, -0.014139678329229355, 0.0006712237955071032, 0.017736760899424553, -0.0031816118862479925, -0.03841559216380119, -0.02538173459470272, 0.0027796735521405935, 0.03463037684559822, -0.08573173731565475, 0.04886845126748085, -0.011581813916563988, -0.02724340558052063, 0.009810381568968296, 0.019454458728432655, 0.04677867144346237, -0.024946430698037148, 0.07874007523059845, -0.04349122941493988, 0.02528238482773304, 0.04262436553835869, -0.014226380735635757, -0.017717989161610603, 0.01944332756102085, 0.018259895965456963, 0.06643526256084442, 0.01187077071517706, 0.005480531137436628, -0.04091653227806091, -0.06868678331375122, -0.05144484341144562, 0.022681163623929024, 0.024158092215657234, -0.022032318636775017, 0.09254384785890579, -0.059982094913721085, -0.07628051191568375, -0.08487729728221893, -0.022967662662267685, 0.013363771140575409, -0.04182182997465134, 0.03712192922830582, 0.09222884476184845, -0.010079649277031422, -0.02370171807706356, 0.024542290717363358, -0.025202149525284767, 0.027853304520249367, 0.07120927423238754, 0.013408523984253407, -0.0011091609485447407, -0.03927924856543541, 0.06904997676610947, 0.00977001991122961, 0.0013300994178280234, 0.061980899423360825, 0.013952069915831089, 0.006799779366701841, -0.0057950252667069435, 0.008246693760156631, -0.01674404740333557, 0.0013615007046610117, -0.07659655064344406, 0.03137077018618584, 0.036065634340047836, -0.0047818636521697044, 0.026469629257917404, -0.033298034220933914, -0.08441232889890671, -0.028325717896223068, 0.006489857565611601, -0.049827106297016144, 0.030671779066324234, -0.05111773684620857, 0.05403639003634453, 0.013439483940601349, 0.011985964141786098, 0.028422469273209572, 0.019331933930516243, -0.012469470500946045, -0.006503391545265913, -0.03744853660464287, -0.005024061072617769, -0.065965935587883, -0.006793630309402943, -0.03567986935377121, -0.00013251313066575676, -0.04523388296365738, -0.02114155888557434, -0.032608650624752045, 0.0723317563533783, -0.08924486488103867, 0.06731016933917999, 0.019254937767982483, -0.07438964396715164, 0.047643981873989105, -0.02962535247206688, -0.04590757191181183, -0.04874749109148979, 0.016725463792681694, 0.09227383881807327, 0.03593406453728676, 0.003937514033168554, -0.011517738923430443, -0.033342570066452026, 0.04236161336302757, -0.006814793683588505, 0.022115202620625496, -0.015239574946463108, 0.04996555671095848, -1.250124660145957e-05, 0.02985658124089241, 0.03138718008995056, 0.04765697568655014, 0.021991755813360214, -0.01568623073399067, 0.06803235411643982, -0.02279295213520527, 0.023998120799660683, 0.06882669776678085, 0.01608867198228836, 0.0305195152759552, -0.03504106402397156, -0.0065314131788909435, -0.038669511675834656, 0.014984230510890484, -0.062390245497226715, -0.0017153661465272307, 0.027575282379984856, -0.03702306002378464, -0.020610788837075233, 0.03580833226442337, 0.005368524696677923, 0.018395181745290756, -0.027161218225955963, 0.022107146680355072, 0.00773903913795948, 0.044926442205905914, -0.036371126770973206, -0.04528084024786949, 0.04963699355721474, -0.05598469823598862, -0.08259095996618271, -0.07371706515550613, -0.048374734818935394, 0.06975890696048737, -0.057215481996536255, 0.04711095616221428, 0.0025487071834504604, 0.0505804717540741, -0.059181097894907, 0.02480466477572918, 0.0017590468050912023, 0.011956077069044113, -0.038194071501493454, 0.02429446391761303, 0.037815846502780914, 0.0766032412648201, -0.02224045991897583]"
No. of Ratings,"107,752","[0.06778237968683243, 0.05278344452381134, -0.016095099970698357, -0.06062622368335724, -0.03913936764001846, 0.07467177510261536, 0.04303829371929169, -0.04152005538344383, -0.012111678719520569, 0.027648072689771652, -0.0753791332244873, 0.01949102245271206, -0.026734856888651848, -0.02111651934683323, -0.011395328678190708, 0.04214710742235184, 0.03976011648774147, 0.052927009761333466, 0.024217523634433746, -0.05324047803878784, -0.012699726037681103, -0.0019164722179993987, 0.06272097676992416, -0.05409175902605057, 0.08424971997737885, 0.028425736352801323, -0.019125686958432198, -0.045146822929382324, 0.029442748054862022, -0.011236346326768398, 0.023363063111901283, -0.031234750524163246, -0.06896568834781647, 0.014879371039569378, -0.036220040172338486, 0.0031455003190785646, -0.06653052568435669, -0.00868642795830965, -0.022345231845974922, -0.03842012956738472, -0.027142856270074844, -0.048634398728609085, 0.04156344383955002, 0.04938986152410507, 0.009437528438866138, 0.006723806262016296, 0.026555033400654793, 0.06522423774003983, 0.0006478026625700295, 0.016924330964684486, 0.0729154571890831, -0.07760133594274521, -0.023959368467330933, -0.04447026923298836, 0.11031801253557205, -0.0832505151629448, -0.004722529090940952, -0.034895334392786026, 0.0460381917655468, 0.047292858362197876, 0.021408600732684135, 0.0595599040389061, -0.051906369626522064, 0.054157402366399765, 0.0039644623175263405, -0.04912205785512924, -0.01376224122941494, 0.05973348766565323, -0.030261756852269173, 0.009597711265087128, 0.026448659598827362, -0.026374338194727898, 0.02494446001946926, 0.02693716436624527, 0.03368345648050308, -0.054682496935129166, 0.04192638024687767, -0.012064197100698948, -0.009644499979913235, 0.04736240208148956, -0.05272907018661499, 0.018118681386113167, -0.03465345874428749, 0.0713881403207779, 0.038771484047174454, 0.05653587728738785, 0.03234340623021126, -0.02943158522248268, -0.025700140744447708, 0.03669597953557968, -0.027565767988562584, -0.010502586141228676, 0.032830990850925446, 0.005319650750607252, -0.023474805057048798, -0.10592322051525116, -0.03795700520277023, -0.07824963331222534, 0.10066746920347214, -0.011883196420967579, -0.04414643719792366, -0.028991099447011948, 0.025404660031199455, -0.051078226417303085, 0.02743280492722988, 0.014810537919402122, -0.010658349841833115, 0.04581848159432411, 0.025061801075935364, -0.0033326440025120974, -0.0826328843832016, -0.014910534955561161, 0.0018914422253146768, 0.01644062250852585, -0.053964827209711075, 0.0075815035961568356, 0.05721089988946915, 0.006969128269702196, 0.01559618953615427, -0.027882929891347885, -0.04680695757269859, 0.025485271587967873, -0.038106150925159454, -0.03508387506008148, 0.005749126896262169, 0.08615273982286453, -0.07628060132265091, -0.06260780990123749, 0.02734421193599701, -0.011781109496951103, -0.1013311892747879, 0.0018603429198265076, 0.05234144255518913, -0.03742443397641182, 0.0005504463915713131, 0.037915345281362534, 0.06227560341358185, -0.02310112677514553, -0.04826035723090172, -0.06921616196632385, -0.073203906416893, -0.05406850576400757, 0.030173523351550102, 0.04648371413350105, 0.009417736902832985, 0.07181019335985184, 0.03305606171488762, -0.044835414737463, 0.1172916516661644, -0.006036636885255575, 0.04679947346448898, 0.020156564190983772, -0.015581322833895683, 0.011163853108882904, -0.005412145517766476, -0.03680722787976265, 0.04479954019188881, 0.0331176221370697, 0.05467788502573967, -0.008394410833716393, -0.050972022116184235, -0.07020890712738037, 0.05210733786225319, -0.04063878953456879, -0.04846338927745819, 0.04342133179306984, -0.06995225697755814, -0.05603713169693947, -0.08832630515098572, 0.05776873603463173, 0.030064823105931282, -0.028437180444598198, -0.0022759686689823866, 0.004284977912902832, 0.004865358117967844, 0.01604895293712616, -0.03550318256020546, -0.016913089901208878, -0.01033102162182331, 0.07301119714975357, -0.023883754387497902, 0.025576449930667877, -0.010682778432965279, -0.01687242090702057, 0.08520858734846115, 0.06233825534582138, -0.006465265527367592, 0.05146462842822075, -0.018034255132079124, -0.029103508219122887, -0.018110541626811028, -0.08549684286117554, -0.029701583087444305, 0.013358141295611858, 0.009023028425872326, -0.04351404309272766, 0.027712658047676086, -0.05056370422244072, -0.024533525109291077, -0.08885311335325241, -0.004927782341837883, -0.03040180914103985, -0.00012665186659432948, -0.05312734469771385, 0.03221970051527023, -0.005986075848340988, -0.03370434790849686, -0.01111565064638853, 0.026034357026219368, -0.0014958141837269068, -0.0003717516374308616, 0.008945788256824017, -0.03218445926904678, 0.02511204034090042, -0.0774427130818367, 0.002944163279607892, -0.0385042168200016, -0.02340702898800373, 0.07148187607526779, -0.019396226853132248, 0.07292991876602173, -0.005459803622215986, -0.0029723395127803087, 0.013904321007430553, -0.02117919921875, -0.013755020685493946, -0.030470535159111023, -0.025300269946455956, -0.059156980365514755, 0.04622158035635948, -0.045388344675302505, -0.008668145164847374, -0.003514120588079095, 0.014572257176041603, 0.024516260251402855, 0.054466672241687775, -0.030726883560419083, 0.014848234131932259, -0.004668283276259899, -0.02885240502655506, 0.004600119311362505, 0.08227315545082092, -0.03145761042833328, 0.00219069910235703, 0.010118050500750542, -0.01872314140200615, 0.09112603217363358, -0.03833290562033653, -0.07862905412912369, 0.007131792139261961, 0.05305878445506096, -0.06096585467457771, 0.026470471173524857, -0.027387840673327446, 0.0309437345713377, -0.09513363242149353, -0.0472029484808445, 0.06304461508989334, -0.036516252905130386, -0.04934745654463768, 0.00404940452426672, 0.09851449728012085, -0.04075808823108673, -0.03338288888335228, 0.03333481401205063, -0.03399074077606201, -0.06644760817289352, 0.03811522200703621, 0.05572696402668953, -0.07204537838697433, 0.06246519461274147, 0.00455439230427146, 0.021302977576851845, 0.07556810975074768, -0.013589167036116123, 0.03521651402115822, -0.002888789400458336, 0.04185942932963371, -0.0820339098572731, 0.06361616402864456, -0.017677854746580124, 0.06822721660137177, 0.010900928638875484, -0.07795039564371109, 0.011671504937112331, 0.012847830541431904, -0.0815260261297226, -0.016176734119653702, 0.10230892896652222, -0.0190664604306221, 0.02708454430103302, -0.01624079793691635, -0.028072893619537354, -0.06654860079288483, -0.014470415189862251, -0.07350770384073257, -0.028642062097787857, 0.0033416408114135265, -0.04118066653609276, 0.027355089783668518, 0.018624940887093544, 0.04838723689317703, -0.011058475822210312, -0.04207921773195267, -0.06573394685983658, 0.021361155435442924, 0.028167612850666046, -0.01699741929769516, 0.040307141840457916, -0.00927954912185669, -0.047043249011039734, -0.027925623580813408, -0.024690400809049606, -0.01897282525897026, 0.019682852551341057, -0.0814189463853836, 0.022403156384825706, 0.0945771187543869, 0.032967936247587204, 0.021841004490852356, -0.019798962399363518, -0.003200813429430127, -0.025295192375779152, -0.01644366979598999, 0.01985127478837967, 0.0038953139446675777, -0.048933710902929306, -0.03232510760426521, 0.005169033072888851, -0.08393246680498123, 0.06119624897837639, -0.017457008361816406, 0.03587303310632706, 0.0075163827277719975, 0.007380296476185322, 0.008191817440092564, -0.00416217278689146, -0.06167145073413849, -0.008816169574856758, 0.0889711007475853, -0.005040666554123163, -0.05990561097860336, 0.0838492140173912, 0.06054594740271568, 0.04747242107987404, 0.016908442601561546, 0.06397316604852676, 0.04572497680783272, -0.022116677835583687, -0.026279671117663383, -0.055485766381025314, -0.04368169233202934, 0.038730863481760025, 0.029620114713907242, -0.07302477210760117, 0.007003381382673979, 0.010531810112297535, -0.09839200228452682, -0.0004673382209148258, -0.04607800394296646, -0.011831643059849739, 0.07312073558568954, 0.0495411716401577, 0.043894603848457336, 0.031110739335417747, -0.03836433216929436, -0.006887717172503471, 0.028624368831515312, -0.024337762966752052, 0.041025783866643906, 0.017078567296266556, -0.04412364587187767, 0.02944428287446499, -0.011179737746715546, 0.0324968621134758, 0.023491565138101578, -0.008288349024951458, -0.0007183856214396656, 0.048389922827482224, 0.029668064787983894, -0.021986940875649452, 0.028016025200486183, -0.03854960575699806, -0.0009163552313111722, 0.0596892423927784, 0.005348485894501209, -0.04949578642845154, 0.04782295972108841, 0.02389279194176197, -0.00815249141305685, -0.06829382479190826, 0.07605400681495667, -0.05725163221359253, 0.01753397472202778, 0.04472394660115242, 0.11770536750555038, 0.047654155641794205, -0.0034415239933878183, 0.015936873853206635, -0.029346445575356483, 0.011303017847239971, 0.09589966386556625, -0.00632350193336606, 0.02696487121284008, -0.034257784485816956, -0.03419432044029236, 0.05498647689819336, 0.01599307172000408, 0.021936293691396713, -0.018895115703344345, 0.028434360399842262, 0.04272843152284622, 0.010174985975027084, 0.01465743500739336, -0.03020976297557354, -0.06935123354196548, -0.007817551493644714, 0.012599746696650982, -0.036419592797756195, 0.02711605094373226, -0.0016895467415452003, -0.08161330223083496, 0.07017860561609268, 0.003080950118601322, -0.06859920173883438, 0.04081514850258827, -0.09499847143888474, 0.05617829039692879, -0.03388242796063423, 0.07080304622650146, -0.05413006991147995, 0.04826021194458008, -0.04661586135625839, 0.02572084218263626, 0.021778780966997147, 0.01788736693561077, -2.006403883569874e-05, 0.0035415131133049726, -0.05818367749452591, -0.0029114449862390757, -0.060324620455503464, 0.012613923288881779, -0.027907924726605415, 0.10008004307746887, -0.056868694722652435, 0.026272743940353394, 0.04737389460206032, -0.036964911967515945, 0.039451152086257935, 0.056712206453084946, -0.04464227706193924, -0.030406326055526733, -0.007301583420485258, 0.05828490108251572, 0.003865723265334964, -0.009419603273272514, 0.051134929060935974, -0.04603613540530205, 0.03123709373176098, -0.03200952336192131, 0.010545318946242332, -0.04630757495760918, 0.04465435817837715, 0.04204251244664192, 0.044953733682632446, 0.051036037504673004, 0.05237425118684769, -0.017353342846035957, -0.07306517660617828, 0.05430562421679497, 0.011009706184267998, 0.02979157492518425, 0.00984330102801323, -0.032166287302970886, 0.10163375735282898, -0.06360812485218048, -0.014253981411457062, -0.10053367912769318, 0.053084634244441986, -0.025876585394144058, -0.01873113587498665, 0.034265920519828796, 0.026685943827033043, -0.04521608352661133, 0.08851931244134903, -0.0396466962993145, -0.020402414724230766, -0.02576301246881485, 0.01743973419070244, 0.060766465961933136, 0.007487169001251459, -0.04449544847011566, -0.01286015659570694, 0.009601469151675701, 0.005539983045309782, -0.08934168517589569, -0.0826861634850502, -0.044301897287368774, 0.012290054000914097, -0.024811699986457825, 0.041055165231227875, -0.035681672394275665, 0.012490947730839252, -0.021455036476254463, 0.09252812713384628, -0.005746908485889435, 0.012175365351140499, 0.008914463222026825, -0.023991310968995094, 0.032685358077287674, 0.021828336641192436, -0.010727793909609318]"
